"lat","long","year","catch","spp","waterTmpC","TowID"
55.32667,-164.59,1982,22.1909,"walleye pollock",3.1,"1982_55.32667_-164.59"
55.33,-166.97167,1982,26.3334,"walleye pollock",4,"1982_55.33_-166.97167"
55.33983,-163.98083,1982,131.9463,"walleye pollock",3.7,"1982_55.33983_-163.98083"
55.34667,-165.785,1982,11.2492,"walleye pollock",3.9,"1982_55.34667_-165.785"
55.34833,-165.1655,1982,52.2525,"walleye pollock",4.1,"1982_55.34833_-165.1655"
55.35,-163.41667,1982,9.2354,"walleye pollock",4.4,"1982_55.35_-163.41667"
55.646,-164.0075,1982,67.5234,"walleye pollock",2.1,"1982_55.646_-164.0075"
55.64783,-166.37883,1982,23.6302,"walleye pollock",4.2,"1982_55.64783_-166.37883"
55.66,-164.58,1982,11.2796,"walleye pollock",2.2,"1982_55.66_-164.58"
55.66333,-166.96833,1982,63.5215,"walleye pollock",3.9,"1982_55.66333_-166.96833"
55.00333,-166.94,1982,29.0863,"walleye pollock",3.9,"1982_55.00333_-166.94"
55.00833,-165.74,1982,29.0096,"walleye pollock",4,"1982_55.00833_-165.74"
55.00833,-164.57667,1982,2.841,"walleye pollock",4.5,"1982_55.00833_-164.57667"
55.01017,-166.34633,1982,40.0531,"walleye pollock",4.9,"1982_55.01017_-166.34633"
55.0105,-165.159,1982,80.0584,"walleye pollock",4.1,"1982_55.0105_-165.159"
55.31267,-166.34683,1982,2.4932,"walleye pollock",4.2,"1982_55.31267_-166.34683"
55.68333,-163.4,1982,46.5701,"walleye pollock",2.5,"1982_55.68333_-163.4"
55.686,-165.15117,1982,15.636,"walleye pollock",4.8,"1982_55.686_-165.15117"
55.70167,-162.82467,1982,371.7342,"walleye pollock",4.7,"1982_55.70167_-162.82467"
55.72,-167.5475,1982,14.8815,"walleye pollock",4.1,"1982_55.72_-167.5475"
55.98383,-166.4025,1982,267.7646,"walleye pollock",3.9,"1982_55.98383_-166.4025"
55.985,-164.59167,1982,5.6096,"walleye pollock",1.7,"1982_55.985_-164.59167"
56.00133,-164.00817,1982,4.422,"walleye pollock",2,"1982_56.00133_-164.00817"
56.00667,-167.025,1982,58.204,"walleye pollock",4,"1982_56.00667_-167.025"
56.00667,-165.79167,1982,56.7503,"walleye pollock",3.9,"1982_56.00667_-165.79167"
56.01167,-168.235,1982,36.3745,"walleye pollock",4.1,"1982_56.01167_-168.235"
56.01283,-167.61633,1982,35.391,"walleye pollock",4,"1982_56.01283_-167.61633"
56.0155,-165.17767,1982,1.0069,"walleye pollock",2.2,"1982_56.0155_-165.17767"
56.02083,-162.8055,1982,35.2205,"walleye pollock",3.2,"1982_56.02083_-162.8055"
56.3145,-163.998,1982,23.7475,"walleye pollock",2.3,"1982_56.3145_-163.998"
56.31817,-161.6365,1982,110.8455,"walleye pollock",-9999,"1982_56.31817_-161.6365"
56.31833,-164.58167,1982,23.9247,"walleye pollock",1.8,"1982_56.31833_-164.58167"
56.31917,-166.4145,1982,117.4705,"walleye pollock",2.6,"1982_56.31917_-166.4145"
56.32333,-162.205,1982,4.1447,"walleye pollock",1.7,"1982_56.32333_-162.205"
56.32667,-167.01333,1982,67.7837,"walleye pollock",2.5,"1982_56.32667_-167.01333"
56.00167,-162.23167,1982,135.2327,"walleye pollock",3,"1982_56.00167_-162.23167"
56.005,-163.39,1982,73.342,"walleye pollock",2.7,"1982_56.005_-163.39"
55.67867,-168.196,1982,26.7014,"walleye pollock",3.9,"1982_55.67867_-168.196"
55.68167,-165.80167,1982,23.328,"walleye pollock",3.9,"1982_55.68167_-165.80167"
56.34417,-170.6825,1982,77.3868,"walleye pollock",3.9,"1982_56.34417_-170.6825"
56.34433,-165.19817,1982,4.3451,"walleye pollock",1.7,"1982_56.34433_-165.19817"
56.345,-170.067,1982,55.9528,"walleye pollock",4,"1982_56.345_-170.067"
56.345,-168.26333,1982,52.9904,"walleye pollock",4,"1982_56.345_-168.26333"
56.35433,-162.798,1982,8.9818,"walleye pollock",2.7,"1982_56.35433_-162.798"
56.6455,-166.43,1982,132.5965,"walleye pollock",2.6,"1982_56.6455_-166.43"
56.6515,-168.8945,1982,26.4137,"walleye pollock",3.2,"1982_56.6515_-168.8945"
56.65333,-162.18667,1982,6.3731,"walleye pollock",0.2,"1982_56.65333_-162.18667"
56.65617,-161.58117,1982,33.0832,"walleye pollock",2.2,"1982_56.65617_-161.58117"
56.66,-168.31667,1982,105.6679,"walleye pollock",2.7,"1982_56.66_-168.31667"
56.66,-164.61167,1982,15.4817,"walleye pollock",0.3,"1982_56.66_-164.61167"
56.66033,-169.5015,1982,0.0292,"walleye pollock",4.6,"1982_56.66033_-169.5015"
56.662,-171.33117,1982,437.5171,"walleye pollock",3.8,"1982_56.662_-171.33117"
56.66333,-167.07667,1982,322.8641,"walleye pollock",2.5,"1982_56.66333_-167.07667"
56.665,-164,1982,9.8392,"walleye pollock",1.3,"1982_56.665_-164"
56.67067,-160.34967,1982,110.6493,"walleye pollock",0.4,"1982_56.67067_-160.34967"
56.67217,-170.13367,1982,218.109,"walleye pollock",4,"1982_56.67217_-170.13367"
56.33667,-168.88133,1982,94.0669,"walleye pollock",4.1,"1982_56.33667_-168.88133"
56.33833,-165.79833,1982,50.1974,"walleye pollock",2.1,"1982_56.33833_-165.79833"
56.34,-163.39667,1982,4.7887,"walleye pollock",1.4,"1982_56.34_-163.39667"
56.34167,-161.00333,1982,1334.3434,"walleye pollock",2.1,"1982_56.34167_-161.00333"
56.34333,-167.648,1982,85.3723,"walleye pollock",3.7,"1982_56.34333_-167.648"
56.67933,-172.6305,1982,214.6154,"walleye pollock",4,"1982_56.67933_-172.6305"
56.67983,-170.73967,1982,135.9949,"walleye pollock",3.9,"1982_56.67983_-170.73967"
56.6815,-165.196,1982,26.4567,"walleye pollock",0.9,"1982_56.6815_-165.196"
56.68167,-167.66483,1982,886.8896,"walleye pollock",3.2,"1982_56.68167_-167.66483"
56.68167,-163.38,1982,17.071,"walleye pollock",0.3,"1982_56.68167_-163.38"
56.685,-159.76,1982,6.2813,"walleye pollock",0.7,"1982_56.685_-159.76"
56.68867,-162.786,1982,3.4267,"walleye pollock",0.7,"1982_56.68867_-162.786"
56.82833,-169.31933,1982,12.5987,"walleye pollock",3.4,"1982_56.82833_-169.31933"
56.8525,-170.44867,1982,10.4417,"walleye pollock",3.7,"1982_56.8525_-170.44867"
